ar,kommun,ljusforhallande,manad,svarighetsgrad,vaderlek
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Gryning/skymning,5,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,5,Dödsolycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Okänt
2003,Stockholm,Mörker,1,Lindrig olycka,Okänt
2003,Stockholm,Mörker,1,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Gryning/skymning,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Svår olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Lindrig olycka,Snöfall
2003,Stockholm,Mörker,1,Lindrig olycka,Snöfall
2003,Stockholm,Dagsljus,1,Lindrig olycka,Snöfall
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Svår olycka,Uppehållsväder
2003,Stockholm,Mörker,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,1,Lindrig olycka,Uppehållsväder
