"region","apartment type","number apartments 2014","number apartments 2015","space per apartment, kvm 2014","space per apartment, kvm 2015","yearly avgift per squaremeter, kr 2014","yearly avgift per squaremeter, kr 2015","yearly avgift per apartment, kr 2014","yearly avgift per apartment, kr 2015","monthly avgift per apartment, kr 2014","monthly avgift per apartment, kr 2015","bet per squaremeter, kr 2014","bet per squaremeter, kr 2015","bet per apartment, kr 2014","bet per apartment, kr 2015"
"0010 Stor-Stockholm","1 rum och kokvrå",..,8,..,26,..,759,..,19833,..,1653,..,48852,..,1276250
"0010 Stor-Stockholm","1 rum och kök",244,323,38,37,779,730,29813,27123,2484,2260,34244,36725,1310811,1365070
"0010 Stor-Stockholm","2 rum och kök",1056,1778,55,53,717,711,39762,37471,3314,3123,41153,37761,2281016,1990856
"0010 Stor-Stockholm","3 rum och kök",1030,1643,79,80,679,654,53886,52449,4491,4371,41049,37291,3256275,2988651
"0010 Stor-Stockholm","4 rum och kök",864,1306,101,98,633,625,63702,61513,5308,5126,40025,38639,4028447,3800429
"0010 Stor-Stockholm","5 rum och kök",317,410,122,122,584,560,71143,68582,5929,5715,32449,37913,3949867,4644044
"0010 Stor-Stockholm","6 eller flera rum och kök",36,32,132,154,525,464,69376,71189,5781,5932,35872,42157,4739139,6471068
"0020 Stor-Göteborg","1 rum och kokvrå",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0020 Stor-Göteborg","1 rum och kök",136,155,40,41,743,701,29722,28567,2477,2381,36845,34703,1474899,1414971
"0020 Stor-Göteborg","2 rum och kök",312,497,58,59,716,658,41198,39128,3433,3261,31342,34174,1802283,2033130
"0020 Stor-Göteborg","3 rum och kök",438,557,80,79,656,631,52623,49957,4385,4163,32241,33073,2584469,2619781
"0020 Stor-Göteborg","4 rum och kök",201,261,99,99,619,599,61303,59519,5109,4960,34730,30387,3439793,3016944
"0020 Stor-Göteborg","5 rum och kök",18,7,125,119,491,562,61594,66943,5133,5579,25121,20971,3148444,2498571
"0020 Stor-Göteborg","6 eller flera rum och kök",8,..,151,..,442,..,66738,..,5561,..,25554,..,3855509,..
