"region","Antal fordon enligt bilregistret 2002","Antal fordon enligt bilregistret 2003","Antal fordon enligt bilregistret 2004","Antal fordon enligt bilregistret 2005","Antal fordon enligt bilregistret 2006","Antal fordon enligt bilregistret 2007","Antal fordon enligt bilregistret 2008","Antal fordon enligt bilregistret 2009","Antal fordon enligt bilregistret 2010","Antal fordon enligt bilregistret 2011","Antal fordon enligt bilregistret 2012","Antal fordon enligt bilregistret 2013","Antal fordon enligt bilregistret 2014","Antal fordon enligt bilregistret 2015","Antal fordon enligt bilregistret 2016"
"00 Riket",4042790,4075414,4113424,4153674,4202463,4258463,4278995,4300752,4335182,4401352,4447165,4495473,4585519,4669063,4768060
"01 Stockholms län",738470,746671,754266,759096,768957,783417,791070,792583,800534,817554,829469,841954,863946,887057,909434
"03 Uppsala län",132325,129258,130668,132716,133191,142099,141838,143298,145307,147403,149835,150255,153499,157021,160380
"04 Södermanlands län",120562,121929,122892,124188,125364,126857,126913,127483,128531,131103,132700,134518,137125,140155,143234
"05 Östergötlands län",182474,184082,185397,187240,188930,191610,192202,193852,195813,198012,200253,202682,207094,211198,215203
"06 Jönköpings län",154012,155632,157190,158956,161191,163519,164027,164309,165865,168322,170152,171961,175963,179099,183430
"07 Kronobergs län",85982,86313,87281,88194,89293,90375,90755,91374,91820,93147,94246,95394,97289,98639,100999
"08 Kalmar län",113973,114776,115678,116672,117593,118800,119419,119800,120546,122082,122986,124187,126290,128253,132177
"09 Gotlands län",30413,30872,31207,31359,31627,31876,31978,32399,32425,32796,32934,33311,33914,34490,35175
"10 Blekinge län",74251,74923,75355,75875,76406,77548,77403,77667,77931,78734,79086,79591,80808,82300,84001
"12 Skåne län",517569,522636,529049,537687,548832,559398,563246,569202,574107,581199,586880,594937,604755,614845,629359
"13 Hallands län",137367,139554,141854,144210,146275,148258,148908,150742,152586,155689,157454,159424,163034,166759,170575
"14 Västra Götalands län",664769,671104,678113,685942,694809,702395,703074,704946,711309,722140,726312,729890,743694,756139,772147
"15 f.d. Älvsborgs län",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"16 f.d. Skaraborgs län",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"17 Värmlands län",137568,138557,139414,139952,141074,142364,142691,142967,143651,145330,146721,147440,149218,150789,153076
"18 Örebro län",126283,126876,127130,128097,129200,130022,130800,131116,134871,137112,138870,141001,140967,143710,146503
"19 Västmanlands län",118979,120420,121750,122854,124128,118149,118676,118991,119836,122414,124521,126390,128934,130844,133083
"20 Dalarnas län",143096,144231,144821,145704,146591,148112,148631,149362,150271,152033,153928,155620,159123,161059,164064
